Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
51,4,OMP,0.0009914,1.98e-05,0.00020173492031470649,0.0101010101010101,0.00039555866728373815,0.019805902158843335
52,4,OMP,0.0010906,1.7800000000000002e-05,0.00018338529249954154,0.011235955056179773,0.00035266402403757985,0.021607605877268794
53,4,OMP,0.0010937999999999998,2.2e-05,0.00018284878405558605,0.00909090909090909,0.0003449977057652567,0.01715265866209262
54,4,OMP,0.0011242,1.82e-05,0.0001779042874933286,0.01098901098901099,0.0003294523842469048,0.020350020350020353
55,4,OMP,0.0011116,2e-05,0.00017992083483267364,0.009999999999999998,0.00032712879060486114,0.018181818181818177
56,4,OMP,0.0010447999999999998,2.18e-05,0.00019142419601837676,0.009174311926605503,0.0003418289214613871,0.016382699868938397
57,4,OMP,0.0010232000000000002,2.08e-05,0.0001954652071931196,0.009615384615384614,0.00034292141612828,0.016869095816464234
58,4,OMP,0.0011857999999999999,2.3400000000000006e-05,0.000168662506324844,0.008547008547008544,0.00029079742469800693,0.014736221632773354
59,4,OMP,0.0012024000000000002,1.98e-05,0.000166333998669328,0.0101010101010101,0.00028192203164292877,0.01712035610340695
60,4,OMP,0.0014212,2.34e-05,0.00014072614691809738,0.008547008547008546,0.00023454357819682896,0.014245014245014244
61,4,OMP,0.0014210000000000002,2.2e-05,0.0001407459535538353,0.00909090909090909,0.00023073107139972996,0.014903129657228018
62,4,OMP,0.0012996,2.18e-05,0.0001538935056940597,0.009174311926605503,0.00024821533176461245,0.014797277300976618
63,4,OMP,0.0012235999999999998,2.52e-05,0.0001634521085322001,0.007936507936507936,0.0002594477913209525,0.012597631645250691
64,4,OMP,0.0010962,2.12e-05,0.00018244845831052726,0.009433962264150943,0.00028507571611019884,0.01474056603773585
65,4,OMP,0.0013234000000000002,2.4599999999999995e-05,0.00015112588786459117,0.008130081300813009,0.00023250136594552486,0.012507817385866166
66,4,OMP,0.0015396,2.42e-05,0.00012990387113535984,0.008264462809917356,0.00019682404717478763,0.01252191334835963
67,4,OMP,0.0014356000000000002,2.12e-05,0.000139314572304263,0.009433962264150943,0.00020793219746904928,0.014080540692762602
68,4,OMP,0.0014179999999999998,2.3199999999999998e-05,0.00014104372355430185,0.008620689655172414,0.00020741724052103215,0.012677484787018255
69,4,OMP,0.001157,2.7000000000000002e-05,0.00017286084701815038,0.007407407407407407,0.0002505229666929716,0.010735373054213633
70,4,OMP,0.0014502,2.44e-05,0.00013791201213625705,0.00819672131147541,0.0001970171601946529,0.011709601873536299
71,4,OMP,0.001186,2.54e-05,0.00016863406408094435,0.007874015748031496,0.00023751276631118923,0.011090163025396473
72,4,OMP,0.0014015999999999998,2.3800000000000006e-05,0.00014269406392694066,0.008403361344537813,0.0001981861998985287,0.011671335200746962
73,4,OMP,0.0016464000000000001,2.52e-05,0.0001214771622934888,0.007936507936507936,0.0001664070716349162,0.010871928680147858
74,4,OMP,0.0013224,3.3e-05,0.0001512401693889897,0.00606060606060606,0.0002043786072824185,0.008190008190008188
75,4,OMP,0.0014242,3.18e-05,0.00014042971492767868,0.006289308176100628,0.00018723961990357158,0.008385744234800839
76,4,OMP,0.0014566,2.5e-05,0.0001373060551970342,0.007999999999999998,0.00018066586210136078,0.010526315789473682
77,4,OMP,0.001532,2.6e-05,0.00013054830287206266,0.007692307692307693,0.00016954325048319826,0.00999000999000999
78,4,OMP,0.0016972,2.5e-05,0.00011784115012962526,0.007999999999999998,0.00015107839760208368,0.010256410256410255
79,4,OMP,0.0016936,2.48e-05,0.00011809163911195087,0.008064516129032258,0.0001494830874834821,0.010208248264597795
80,4,OMP,0.0016181999999999998,2.78e-05,0.00012359411692003462,0.007194244604316546,0.00015449264615004327,0.008992805755395683
81,4,OMP,0.0018068,2.7800000000000005e-05,0.00011069293779056896,0.007194244604316545,0.00013665794788959132,0.008881783462119191
82,4,OMP,0.0016242000000000001,3.0799999999999996e-05,0.00012313754463735992,0.006493506493506494,0.00015016773736263405,0.007918910357934749
83,4,OMP,0.001578,2.66e-05,0.00012674271229404308,0.007518796992481203,0.00015270206300487118,0.009058791557206269
84,4,OMP,0.0016296,2.92e-05,0.00012272950417280314,0.00684931506849315,0.00014610655258667042,0.008153946510110893
85,4,OMP,0.0021282,2.7400000000000005e-05,9.397613006296402e-05,0.007299270072992699,0.0001105601530152518,0.008587376556461999
86,4,OMP,0.0029881999999999995,2.8999999999999997e-05,6.692992436918547e-05,0.006896551724137932,7.782549345254125e-05,0.008019246190858061
87,4,OMP,0.0016812,2.8199999999999998e-05,0.00011896264572924101,0.007092198581560284,0.00013673867325200118,0.008151952392598028
88,4,OMP,0.002306,2.6200000000000007e-05,8.673026886383348e-05,0.00763358778625954,9.855712370890167e-05,0.008674531575294932
89,4,OMP,0.0033524,2.98e-05,5.965875193890943e-05,0.006711409395973154,6.703230554933643e-05,0.0075409094336777015
90,4,OMP,0.004481399999999999,2.98e-05,4.462891060829206e-05,0.006711409395973154,4.958767845365785e-05,0.007457121551081283
91,4,OMP,0.0036028,2.7600000000000007e-05,5.55123792605751e-05,0.0072463768115942,6.100261457206055e-05,0.007963051441312308
92,4,OMP,0.0049956,0.0001936,4.003523100328289e-05,0.0010330578512396695,4.351655543835096e-05,0.0011228889687387711
93,4,OMP,0.0071134000000000015,0.0037934,2.8115950178536276e-05,5.272315073548795e-05,3.023220449304976e-05,5.6691559930632205e-05
94,4,OMP,0.0070892,0.001946,2.8211928003159734e-05,0.0001027749229188078,3.0012689365063548e-05,0.00010933502438171043
95,4,OMP,0.0084294,0.0038164,2.3726481125584264e-05,5.240540823813017e-05,2.4975243290088698e-05,5.5163587619084386e-05
96,4,OMP,0.0099116,0.005723799999999999,2.0178376851366077e-05,3.4941821866592126e-05,2.1019142553506332e-05,3.639773111103347e-05
1,8,SEQ,1.6e-06,1e-06,,,,
1,8,OMP,1.7999999999999994e-05,1.8e-06,0.08888888888888892,0.5555555555555556,8.888888888888893,55.55555555555556
2,8,OMP,9.499999999999999e-05,4.6e-06,0.016842105263157894,0.21739130434782608,0.8421052631578947,10.869565217391305
3,8,OMP,0.0001006,5.6e-06,0.015904572564612324,0.17857142857142858,0.5301524188204108,5.9523809523809526
4,8,OMP,0.00013580000000000002,7.6e-06,0.0117820324005891,0.13157894736842105,0.2945508100147275,3.289473684210526
5,8,OMP,0.0001318,7.000000000000002e-06,0.012139605462822457,0.14285714285714282,0.24279210925644912,2.8571428571428563
6,8,OMP,0.00017339999999999999,6.6e-06,0.00922722029988466,0.1515151515151515,0.15378700499807768,2.525252525252525
7,8,OMP,0.0001766,1.04e-05,0.009060022650056624,0.09615384615384615,0.12942889500080892,1.3736263736263734
8,8,OMP,0.0001924,1.1e-05,0.008316008316008316,0.09090909090909091,0.10395010395010396,1.1363636363636365
9,8,OMP,0.0002272,1.26e-05,0.007042253521126761,0.07936507936507936,0.0782472613458529,0.8818342151675485
10,8,OMP,0.00021780000000000004,1.34e-05,0.007346189164370981,0.07462686567164178,0.07346189164370981,0.7462686567164178
11,8,OMP,0.000223,8.400000000000001e-06,0.007174887892376682,0.11904761904761903,0.06522625356706074,1.082251082251082
12,8,OMP,0.00034060000000000004,1.0199999999999999e-05,0.004697592483852025,0.09803921568627452,0.039146604032100206,0.8169934640522877
13,8,OMP,0.00025180000000000005,8.8e-06,0.006354249404289117,0.11363636363636362,0.04887884157145475,0.8741258741258741
14,8,OMP,0.0003958,9.8e-06,0.004042445679636179,0.10204081632653061,0.02887461199740128,0.728862973760933
15,8,OMP,0.00039739999999999996,9.6e-06,0.004026170105686965,0.10416666666666667,0.0268411340379131,0.6944444444444445
16,8,OMP,0.00028960000000000005,1e-05,0.005524861878453038,0.09999999999999999,0.03453038674033149,0.625
