Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
9,16,OMP,0.000285,1.44E-05,5.61E-03,6.94E-02,6.24E-02,7.72E-01,
10,16,OMP,0.0002696,1.64E-05,5.93E-03,6.10E-02,5.93E-02,6.10E-01,
11,16,OMP,0.0002688,1.46E-05,5.95E-03,6.85E-02,5.41E-02,6.23E-01,
12,16,OMP,0.0002396,1.44E-05,6.68E-03,6.94E-02,5.56E-02,5.79E-01,
13,16,OMP,0.0002752,1.24E-05,5.81E-03,8.06E-02,4.47E-02,6.20E-01,
14,16,OMP,0.0003294,1.48E-05,4.86E-03,6.76E-02,3.47E-02,4.83E-01,
15,16,OMP,0.0004096,1.54E-05,3.91E-03,6.49E-02,2.60E-02,4.33E-01,
16,16,OMP,0.0004676,1.46E-05,3.42E-03,6.85E-02,2.14E-02,4.28E-01,
17,16,OMP,0.0003176,2.18E-05,5.04E-03,4.59E-02,2.96E-02,2.70E-01,
18,16,OMP,0.000343,1.60E-05,4.66E-03,6.25E-02,2.59E-02,3.47E-01,
19,16,OMP,0.0003918,2.20E-05,4.08E-03,4.55E-02,2.15E-02,2.39E-01,
20,16,OMP,0.0005084,1.46E-05,3.15E-03,6.85E-02,1.57E-02,3.42E-01,
21,16,OMP,0.0006486,1.86E-05,2.47E-03,5.38E-02,1.17E-02,2.56E-01,
22,16,OMP,0.000611,1.76E-05,2.62E-03,5.68E-02,1.19E-02,2.58E-01,
23,16,OMP,0.0004228,1.68E-05,3.78E-03,5.95E-02,1.65E-02,2.59E-01,
24,16,OMP,0.0005246,1.76E-05,3.05E-03,5.68E-02,1.27E-02,2.37E-01,
25,16,OMP,0.000541,2.08E-05,2.96E-03,4.81E-02,1.18E-02,1.92E-01,
26,16,OMP,0.0006176,2.02E-05,2.59E-03,4.95E-02,9.96E-03,1.90E-01,
27,16,OMP,0.0004946,2.40E-05,3.23E-03,4.17E-02,1.20E-02,1.54E-01,
28,16,OMP,0.0005756,2.18E-05,2.78E-03,4.59E-02,9.93E-03,1.64E-01,
29,16,OMP,0.0007236,2.26E-05,2.21E-03,4.42E-02,7.62E-03,1.53E-01,
30,16,OMP,0.0007352,1.94E-05,2.18E-03,5.15E-02,7.25E-03,1.72E-01,
31,16,OMP,0.0005602,2.30E-05,2.86E-03,4.35E-02,9.21E-03,1.40E-01,
32,16,OMP,0.0008154,2.44E-05,1.96E-03,4.10E-02,6.13E-03,1.28E-01,
33,16,OMP,0.0005918,2.12E-05,2.70E-03,4.72E-02,8.19E-03,1.43E-01,
34,16,OMP,0.000738,2.86E-05,2.17E-03,3.50E-02,6.38E-03,1.03E-01,
35,16,OMP,0.000861,2.70E-05,1.86E-03,3.70E-02,5.31E-03,1.06E-01,
36,16,OMP,0.0008338,2.64E-05,1.92E-03,3.79E-02,5.33E-03,1.05E-01,
37,16,OMP,0.0006956,2.92E-05,2.30E-03,3.42E-02,6.22E-03,9.26E-02,
38,16,OMP,0.0007478,2.12E-05,2.14E-03,4.72E-02,5.63E-03,1.24E-01,
