Threads,Dim,Version,Sym,Trans
1,256,SEQ,0.0001804,0.0004342
1,256,OMP,0.0002508,0.0004198
2,256,OMP,0.0003456,0.0003966
3,256,OMP,0.000343,0.0004836
4,256,OMP,0.0003178,0.0006004
5,256,OMP,0.000336,0.0004456
6,256,OMP,0.0002828,0.0004416
7,256,OMP,0.0002956,0.0004216
8,256,OMP,0.0003062,0.0004934
9,256,OMP,0.0003326,0.0004384
10,256,OMP,0.000349,0.0004382
11,256,OMP,0.0003208,0.0004572
12,256,OMP,0.000345,0.0004878
13,256,OMP,0.0003886,0.0004486
14,256,OMP,0.0004006,0.0004886
15,256,OMP,0.0003942,0.000481
16,256,OMP,0.0003894,0.000489
17,256,OMP,0.000421,0.0004804
18,256,OMP,0.0004708,0.0004784
19,256,OMP,0.0004606,0.0004384
20,256,OMP,0.0004668,0.0004682
21,256,OMP,0.000502,0.0005178
22,256,OMP,0.0005378,0.0005174
23,256,OMP,0.0005064,0.0004256
24,256,OMP,0.0005296,0.0004362
25,256,OMP,0.0005544,0.0003786
26,256,OMP,0.0005832,0.0004316
27,256,OMP,0.0005764,0.0004192
28,256,OMP,0.000578,0.0004254
29,256,OMP,0.0006098,0.0004594
30,256,OMP,0.000645,0.0004586
31,256,OMP,0.000635,0.0004112
32,256,OMP,0.0006496,0.0004434
33,256,OMP,0.0006716,0.0004496
34,256,OMP,0.000695,0.0004244
35,256,OMP,0.0007066,0.0003956
36,256,OMP,0.0007158,0.0004468
37,256,OMP,0.0007528,0.0003758
38,256,OMP,0.000763,0.0003788
39,256,OMP,0.0008244,0.0004012
40,256,OMP,0.0007864,0.0004004
41,256,OMP,0.0008164,0.00045
42,256,OMP,0.0008254,0.0004172
43,256,OMP,0.0008332,0.0004502
44,256,OMP,0.0008402,0.0004278
45,256,OMP,0.0008558,0.000423
46,256,OMP,0.0008768,0.0004692
47,256,OMP,0.000885,0.000441
48,256,OMP,0.0008926,0.00044
49,256,OMP,0.0009282,0.000455
50,256,OMP,0.0009388,0.0004276
51,256,OMP,0.000944,0.0004486
52,256,OMP,0.0009828,0.0004102
53,256,OMP,0.0009798,0.000447
54,256,OMP,0.0009928,0.0004256
55,256,OMP,0.0010182,0.000442
56,256,OMP,0.0010622,0.0004676
57,256,OMP,0.0010578,0.0004416
58,256,OMP,0.001116,0.000451
59,256,OMP,0.001114,0.0004684
60,256,OMP,0.001123,0.0003996
61,256,OMP,0.0011314,0.0004464
62,256,OMP,0.0011306,0.0004404
63,256,OMP,0.0011618,0.0004698
64,256,OMP,0.0011944,0.000423
65,256,OMP,0.0012056,0.0004666
66,256,OMP,0.0012682,0.000459
67,256,OMP,0.0012344,0.0004778
68,256,OMP,0.0012924,0.000468
69,256,OMP,0.0012844,0.0004738
70,256,OMP,0.00133,0.0004586
71,256,OMP,0.0013132,0.0004604
72,256,OMP,0.0013404,0.0004342
73,256,OMP,0.0013182,0.000463
74,256,OMP,0.0013634,0.0004484
75,256,OMP,0.001377,0.0004522
76,256,OMP,0.0014574,0.0004688
77,256,OMP,0.0014356,0.0004776
78,256,OMP,0.0014958,0.0004886
79,256,OMP,0.0015164,0.0004644
80,256,OMP,0.00152,0.0004778
81,256,OMP,0.0015808,0.0004464
82,256,OMP,0.0015818,0.0004874
83,256,OMP,0.0016126,0.000472
84,256,OMP,0.001635,0.0004638
85,256,OMP,0.0034824,0.0004828
86,256,OMP,0.002258,0.0005056
87,256,OMP,0.0023962,0.0004364
88,256,OMP,0.0032626,0.0014244
89,256,OMP,0.00294,0.0004624
90,256,OMP,0.002237,0.0004642
91,256,OMP,0.0045484,0.0004706
92,256,OMP,0.0051942,0.001388
93,256,OMP,0.0071448,0.0022974
94,256,OMP,0.0084844,0.0050422
95,256,OMP,0.0100408,0.0068104
96,256,OMP,0.0087706,0.0076676
