Threads/Proc,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
68,32,MPI DT,0.000777,0.000724
69,32,MPI DT,0.0007574,0.0006972
70,32,MPI DT,0.0005420000000000001,0.0007508
71,32,MPI DT,0.0009585999999999999,0.0006184000000000001
72,32,MPI DT,0.0011806,0.0007070000000000001
73,32,MPI DT,0.0008618,0.0007524000000000001
74,32,MPI DT,0.0030372000000000003,0.0018065999999999998
75,32,MPI DT,0.00041460000000000005,0.000756
76,32,MPI DT,0.015360000000000002,0.0032066000000000004
77,32,MPI DT,0.0057508,0.001487
78,32,MPI DT,0.0012856,0.0007748000000000002
79,32,MPI DT,0.0007032,0.004675
80,32,MPI DT,0.0015608,0.0006782
81,32,MPI DT,0.0031014,0.001334
82,32,MPI DT,0.0009809999999999999,0.0007143999999999999
83,32,MPI DT,0.002997,0.0008421999999999999
84,32,MPI DT,0.0007314,0.000742
85,32,MPI DT,0.0058264,0.005635000000000001
86,32,MPI DT,0.0030055999999999998,0.003601600000000001
87,32,MPI DT,0.0035776000000000002,0.004162400000000001
88,32,MPI DT,0.0014939999999999999,0.0028810000000000003
89,32,MPI DT,0.0032256000000000008,0.003281
90,32,MPI DT,0.009709199999999998,0.0071022
91,32,MPI DT,0.0033550000000000003,0.0015826
92,32,MPI DT,0.005623600000000001,0.0048864
93,32,MPI DT,0.00317,0.0032496000000000005
94,32,MPI DT,0.0059876,0.005738999999999999
95,32,MPI DT,0.002902,0.0031936
96,32,MPI DT,0.0104476,0.0105544
1,64,SEQ,1.78e-05,1.6999999999999996e-05
1,64,OMP,4.3599999999999996e-05,2.3599999999999998e-05
2,64,OMP,0.0001288,3.4e-05
3,64,OMP,0.00010460000000000001,3.4e-05
4,64,OMP,0.0001252,3.680000000000001e-05
5,64,OMP,0.00022700000000000004,3.52e-05
6,64,OMP,0.00017099999999999998,3.64e-05
7,64,OMP,0.00019420000000000003,3.46e-05
8,64,OMP,0.0002412,3.7199999999999996e-05
9,64,OMP,0.00028720000000000004,3.44e-05
10,64,OMP,0.0002734,3.48e-05
11,64,OMP,0.0003612,3.619999999999999e-05
12,64,OMP,0.00039920000000000005,3.62e-05
13,64,OMP,0.00044400000000000006,3.94e-05
14,64,OMP,0.0003946,3.64e-05
15,64,OMP,0.0004182,3.9000000000000006e-05
16,64,OMP,0.0004267999999999999,4.1e-05
17,64,OMP,0.000383,4.1400000000000003e-05
18,64,OMP,0.000501,4.62e-05
19,64,OMP,0.000491,4.14e-05
20,64,OMP,0.0005250000000000001,5.239999999999999e-05
21,64,OMP,0.00047940000000000005,5.020000000000001e-05
22,64,OMP,0.0004732,5.36e-05
23,64,OMP,0.0004198,4.940000000000001e-05
24,64,OMP,0.0005198000000000001,4.84e-05
25,64,OMP,0.0005842,4.96e-05
26,64,OMP,0.0007786000000000001,5.36e-05
27,64,OMP,0.00048099999999999993,5.48e-05
28,64,OMP,0.0006422,5.5599999999999996e-05
29,64,OMP,0.0007564000000000002,5.459999999999999e-05
30,64,OMP,0.0006846000000000002,6.12e-05
31,64,OMP,0.0007206000000000001,6.24e-05
32,64,OMP,0.0006341999999999999,5.52e-05
33,64,OMP,0.0007212,6.26e-05
34,64,OMP,0.000626,5.4600000000000006e-05
35,64,OMP,0.0006740000000000001,5.72e-05
36,64,OMP,0.0006958,7.46e-05
37,64,OMP,0.0006798,5.759999999999999e-05
38,64,OMP,0.0008042,7.439999999999999e-05
39,64,OMP,0.0007934,5.660000000000001e-05
40,64,OMP,0.0008166,6.64e-05
41,64,OMP,0.0007094,6.6e-05
42,64,OMP,0.0007619999999999999,6.34e-05
43,64,OMP,0.0008112,6.66e-05
44,64,OMP,0.0008958000000000001,6.5e-05
45,64,OMP,0.0007938000000000001,6.860000000000001e-05
46,64,OMP,0.0009416000000000001,7.76e-05
47,64,OMP,0.0009956,7.179999999999998e-05
48,64,OMP,0.000865,6.52e-05
49,64,OMP,0.0008994000000000001,7.060000000000001e-05
50,64,OMP,0.000876,6.92e-05
51,64,OMP,0.0010167999999999998,7.099999999999999e-05
52,64,OMP,0.0010756,8.779999999999999e-05
53,64,OMP,0.0010302,7.84e-05
54,64,OMP,0.0011688,6.16e-05
55,64,OMP,0.0010936000000000001,7.34e-05
56,64,OMP,0.0013284,7.06e-05
57,64,OMP,0.0010944,8.259999999999999e-05
58,64,OMP,0.0013244,7.48e-05
59,64,OMP,0.0011414,7.16e-05
60,64,OMP,0.0011382,7.2e-05
61,64,OMP,0.0012202,7.7e-05
62,64,OMP,0.0012354,8.060000000000001e-05
63,64,OMP,0.0012008000000000001,8.14e-05
64,64,OMP,0.0012882,7.94e-05
65,64,OMP,0.0012118,7.159999999999999e-05
66,64,OMP,0.001167,7.82e-05
67,64,OMP,0.0013048,7.760000000000002e-05
68,64,OMP,0.0014624,7.999999999999999e-05
69,64,OMP,0.0014731999999999998,8.539999999999999e-05
70,64,OMP,0.0014018000000000001,7.66e-05
71,64,OMP,0.0012851999999999998,7.500000000000001e-05
72,64,OMP,0.0013956,7.159999999999999e-05
73,64,OMP,0.001441,8.04e-05
74,64,OMP,0.001475,6.92e-05
75,64,OMP,0.0013676,8.8e-05
76,64,OMP,0.0014658,8.479999999999999e-05
77,64,OMP,0.0014693999999999998,7.159999999999999e-05
78,64,OMP,0.0015147999999999997,8.62e-05
79,64,OMP,0.0017106,8.36e-05
80,64,OMP,0.0015616000000000002,9.120000000000001e-05
81,64,OMP,0.0016576,8.72e-05
82,64,OMP,0.0015358,7.92e-05
83,64,OMP,0.0015530000000000001,8.499999999999999e-05
84,64,OMP,0.0016456,8.240000000000001e-05
85,64,OMP,0.0022541999999999996,8.38e-05
86,64,OMP,0.002094,7.7e-05
87,64,OMP,0.002042,7.9e-05
88,64,OMP,0.0033772000000000003,8.94e-05
89,64,OMP,0.0020142,7.84e-05
90,64,OMP,0.0016548,8.7e-05
91,64,OMP,0.0065201999999999994,0.0038372000000000002
92,64,OMP,0.010066,0.004815399999999999
93,64,OMP,0.0080304,0.001987
94,64,OMP,0.0080862,0.004055800000000001
95,64,OMP,0.0102708,0.009553
96,64,OMP,0.009027799999999999,0.0076212
1,64,MPI DT,3.1599999999999996e-05,1.16e-05
2,64,MPI DT,0.00018759999999999998,6.14e-05
3,64,MPI DT,0.0003294,5.9999999999999995e-05
4,64,MPI DT,0.00022439999999999998,6.54e-05
5,64,MPI DT,0.0001964,5.9800000000000003e-05
6,64,MPI DT,0.0004712,6.400000000000001e-05
7,64,MPI DT,0.0005024,6.68e-05
8,64,MPI DT,0.0002776,6.74e-05
9,64,MPI DT,0.00035800000000000003,8.34e-05
10,64,MPI DT,0.0003386,8.66e-05
11,64,MPI DT,0.0006096,0.0001132
12,64,MPI DT,0.00046559999999999993,9.3e-05
13,64,MPI DT,0.00032040000000000004,0.000107
14,64,MPI DT,0.0007988,0.0001426
15,64,MPI DT,0.000282,0.0001836
16,64,MPI DT,0.00047080000000000006,9.159999999999999e-05
17,64,MPI DT,0.000243,0.0001222
18,64,MPI DT,0.0005124,0.00024760000000000006
19,64,MPI DT,0.000495,0.0001378
20,64,MPI DT,0.000531,0.00020600000000000002
21,64,MPI DT,0.0007138000000000001,0.0002252
22,64,MPI DT,0.0005223999999999999,0.000159
23,64,MPI DT,0.000985,0.00026960000000000005
24,64,MPI DT,0.00028700000000000004,0.00032399999999999996
25,64,MPI DT,0.0009128000000000001,0.00025140000000000004
26,64,MPI DT,0.0007824000000000002,0.00032779999999999994
27,64,MPI DT,0.0010198,0.0004216
28,64,MPI DT,0.0005483999999999999,0.0003556
29,64,MPI DT,0.0006432,0.0009755999999999999
30,64,MPI DT,0.000755,0.00042780000000000004
31,64,MPI DT,0.00043879999999999993,0.0003662
32,64,MPI DT,0.001053,0.0010271999999999998
33,64,MPI DT,0.0009029999999999999,0.0002732
34,64,MPI DT,0.0006573999999999999,0.0005665999999999999
35,64,MPI DT,0.0005922,0.00031399999999999993
36,64,MPI DT,0.0012980000000000001,0.000317
37,64,MPI DT,0.0010284,0.0006844
38,64,MPI DT,0.000697,0.000924
39,64,MPI DT,0.0014074,0.0006134
40,64,MPI DT,0.0006982000000000001,0.0006870000000000001
41,64,MPI DT,0.0008401999999999999,0.0004516
42,64,MPI DT,0.0009453999999999999,0.0010914
43,64,MPI DT,0.0007939999999999999,0.0007099999999999999
44,64,MPI DT,0.0007589999999999999,0.0005591999999999999
45,64,MPI DT,0.0010152000000000002,0.0010692
46,64,MPI DT,0.0006672,0.0006492
47,64,MPI DT,0.0007107999999999999,0.0005034000000000001
48,64,MPI DT,0.000998,0.0005756
49,64,MPI DT,0.0010162,0.0006702
50,64,MPI DT,0.000711,0.0006612
51,64,MPI DT,0.0012125999999999999,0.0006304
52,64,MPI DT,0.0006376,0.0004448000000000001
53,64,MPI DT,0.0009023999999999999,0.0025459999999999997
54,64,MPI DT,0.0011551999999999999,0.0007044000000000001
55,64,MPI DT,0.0009186,0.0006864
56,64,MPI DT,0.0008897999999999999,0.000806
57,64,MPI DT,0.0009276000000000001,0.0007235999999999999
58,64,MPI DT,0.0011978,0.0006224000000000001
59,64,MPI DT,0.0011849999999999999,0.0006906
60,64,MPI DT,0.0008158,0.0007918
61,64,MPI DT,0.0008994000000000001,0.0008232
62,64,MPI DT,0.001026,0.0013733999999999999
63,64,MPI DT,0.0010226,0.0007522
64,64,MPI DT,0.0012209999999999999,0.0006816
65,64,MPI DT,0.0014676,0.0008396
66,64,MPI DT,0.0011374,0.0007396
67,64,MPI DT,0.001165,0.00067
68,64,MPI DT,0.0011386,0.0006798
69,64,MPI DT,0.0010279999999999998,0.0008968
70,64,MPI DT,0.0011024,0.0007164000000000001
71,64,MPI DT,0.0014332000000000001,0.0008603999999999999
72,64,MPI DT,0.0011782000000000001,0.0008296
73,64,MPI DT,0.0011784,0.0008356
74,64,MPI DT,0.0012175999999999999,0.000983
75,64,MPI DT,0.0014118,0.001021
