Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
64,4,OMP,0.0017250000000000002,4.54e-05,0.0006956521739130434,0.008810572687224669,0.0010869565217391302,0.013766519823788546
65,4,OMP,0.0019527999999999998,4.46e-05,0.0006145022531749283,0.008968609865470852,0.0009453880818075821,0.013797861331493619
66,4,OMP,0.0020874,5.22e-05,0.0005748778384593274,0.007662835249042145,0.0008710270279686777,0.011610356437942643
67,4,OMP,0.005111,5.0200000000000014e-05,0.00023478771277636468,0.007968127490039839,0.00035042942205427567,0.011892727597074387
68,4,OMP,0.002797,4.7799999999999996e-05,0.0004290311047550947,0.008368200836820085,0.0006309280952280804,0.012306177701206008
69,4,OMP,0.004255,5.540000000000001e-05,0.000282021151586369,0.0072202166064981935,0.0004087263066469116,0.01046408203840318
70,4,OMP,0.0036836,4.4799999999999984e-05,0.00032576827017048536,0.008928571428571432,0.00046538324310069337,0.01275510204081633
71,4,OMP,0.0073193999999999985,0.0010168000000000002,0.0001639478645790639,0.0003933910306845003,0.00023091248532262521,0.0005540718742035215
72,4,OMP,0.00978,0.008514200000000001,0.00012269938650306746,4.698033872824222e-05,0.00017041581458759368,6.525047045589196e-05
73,4,OMP,0.0113154,0.008095399999999999,0.00010605016172649663,4.941077649035255e-05,0.0001452741941458858,6.768599519226376e-05
74,4,OMP,0.0103852,0.0095198,0.00011554905057196778,4.2017689447257295e-05,0.0001561473656377943,5.678066141521256e-05
75,4,OMP,0.010726799999999998,0.009468399999999998,0.00011186933661483389,4.2245785982848216e-05,0.0001491591154864452,5.632771464379762e-05
76,4,OMP,0.0113238,0.0104288,0.00010597149366820325,3.835532371893219e-05,0.00013943617587921478,5.04675312091213e-05
77,4,OMP,0.0124866,0.009510600000000001,9.610302244005573e-05,4.205833491052089e-05,0.0001248091200520204,5.462121416950765e-05
78,4,OMP,0.0109972,0.010499,0.00010911868475611973,3.8098866558719875e-05,0.000139895749687333,4.884470071630754e-05
