Threads,Dim,Version,Sym,Trans
51,128,OMP,0.0009306,7.92e-05
52,128,OMP,0.0009262,8.6e-05
53,128,OMP,0.000957,9.16e-05
54,128,OMP,0.0009468,9.72e-05
55,128,OMP,0.0009956,8.24e-05
56,128,OMP,0.0009884,7.94e-05
57,128,OMP,0.0010878,7.62e-05
58,128,OMP,0.0010108,8.42e-05
59,128,OMP,0.001065,8.68e-05
60,128,OMP,0.0010742,8.42e-05
61,128,OMP,0.0011336,7.88e-05
62,128,OMP,0.0011082,9.12e-05
63,128,OMP,0.0010788,9.38e-05
64,128,OMP,0.0011454,9.12e-05
65,128,OMP,0.001166,8.18e-05
66,128,OMP,0.0011922,8.4e-05
67,128,OMP,0.001205,8.26e-05
68,128,OMP,0.0012096,8.72e-05
69,128,OMP,0.001243,7.12e-05
70,128,OMP,0.0014284,8.38e-05
71,128,OMP,0.0012674,8.82e-05
72,128,OMP,0.0013458,8.58e-05
73,128,OMP,0.001301,9.82e-05
74,128,OMP,0.0014206,8.56e-05
75,128,OMP,0.0013636,8.26e-05
76,128,OMP,0.0014188,8.66e-05
77,128,OMP,0.0015084,8.46e-05
78,128,OMP,0.0015474,9.82e-05
79,128,OMP,0.001417,7.58e-05
80,128,OMP,0.0015254,9.22e-05
81,128,OMP,0.0015602,8.46e-05
82,128,OMP,0.0015616,8.58e-05
83,128,OMP,0.001543,8.5e-05
84,128,OMP,0.00159,9.08e-05
85,128,OMP,0.0018016,8.76e-05
86,128,OMP,0.0020864,7.7e-05
87,128,OMP,0.0024444,9.28e-05
88,128,OMP,0.0018132,8.42e-05
89,128,OMP,0.005242,9.76e-05
90,128,OMP,0.0033346,0.0001034
91,128,OMP,0.0054238,0.0010332
92,128,OMP,0.007145,0.0001052
93,128,OMP,0.0072904,0.0032942
94,128,OMP,0.0082286,0.0010584
95,128,OMP,0.0086092,0.0057112
96,128,OMP,0.010498,0.0085768
1,256,SEQ,0.0001792,0.0004318
1,256,OMP,0.0002286,0.0004246
2,256,OMP,0.0003488,0.0003812
3,256,OMP,0.0003126,0.0004044
4,256,OMP,0.0003004,0.0002946
5,256,OMP,0.0002902,0.0004106
6,256,OMP,0.0003092,0.0003512
7,256,OMP,0.000314,0.0003618
8,256,OMP,0.000297,0.0004276
9,256,OMP,0.0003422,0.000386
10,256,OMP,0.0003406,0.0004342
11,256,OMP,0.0003174,0.0004276
12,256,OMP,0.000321,0.00043
13,256,OMP,0.0003482,0.0004578
14,256,OMP,0.0003702,0.0004902
15,256,OMP,0.0003886,0.0004818
16,256,OMP,0.0003914,0.0004856
17,256,OMP,0.0005324,0.0005072
18,256,OMP,0.0004456,0.0005002
19,256,OMP,0.0004836,0.0005154
20,256,OMP,0.0005056,0.0004992
21,256,OMP,0.000473,0.0004544
22,256,OMP,0.0005248,0.0004878
23,256,OMP,0.0005266,0.000483
24,256,OMP,0.000532,0.0005106
25,256,OMP,0.0005682,0.0004902
26,256,OMP,0.000596,0.0004448
27,256,OMP,0.0005988,0.0005026
28,256,OMP,0.0005998,0.000435
29,256,OMP,0.0006086,0.000483
30,256,OMP,0.0006282,0.0004718
31,256,OMP,0.000668,0.0004472
32,256,OMP,0.000636,0.0004768
33,256,OMP,0.0006728,0.0004274
34,256,OMP,0.000752,0.0004728
35,256,OMP,0.0007074,0.000469
36,256,OMP,0.0006834,0.0004918
37,256,OMP,0.000691,0.0004376
38,256,OMP,0.0007436,0.0004032
39,256,OMP,0.0007488,0.0004578
40,256,OMP,0.0007454,0.0004746
41,256,OMP,0.0008222,0.000468
42,256,OMP,0.0007868,0.0004344
43,256,OMP,0.0008178,0.0004794
44,256,OMP,0.000846,0.0004592
45,256,OMP,0.0008402,0.0004596
46,256,OMP,0.0008658,0.0004322
47,256,OMP,0.0009338,0.0004372
48,256,OMP,0.0009008,0.000417
49,256,OMP,0.0009332,0.0004322
50,256,OMP,0.0009366,0.0004328
51,256,OMP,0.0009778,0.0004302
52,256,OMP,0.0009794,0.0004456
53,256,OMP,0.0009562,0.0004404
54,256,OMP,0.0009962,0.0004458
55,256,OMP,0.0010324,0.0004258
56,256,OMP,0.0010716,0.0004526
57,256,OMP,0.0010498,0.0004254
58,256,OMP,0.0010864,0.0004296
59,256,OMP,0.0010662,0.000395
60,256,OMP,0.0011568,0.0004434
61,256,OMP,0.0011216,0.0004342
62,256,OMP,0.0011366,0.0004218
63,256,OMP,0.0011248,0.0004212
64,256,OMP,0.001196,0.0004266
65,256,OMP,0.001187,0.0004262
66,256,OMP,0.0012344,0.0004326
67,256,OMP,0.0012466,0.0004078
68,256,OMP,0.0012534,0.0004674
69,256,OMP,0.00146,0.0004404
70,256,OMP,0.001304,0.0004154
71,256,OMP,0.0013598,0.0004052
72,256,OMP,0.0013144,0.000435
73,256,OMP,0.001383,0.0004346
74,256,OMP,0.001375,0.0004592
75,256,OMP,0.001496,0.0004456
76,256,OMP,0.0014312,0.0004068
77,256,OMP,0.001463,0.0004556
78,256,OMP,0.0014558,0.0004318
79,256,OMP,0.0015194,0.000471
80,256,OMP,0.0014948,0.0004426
81,256,OMP,0.0015616,0.0004268
82,256,OMP,0.0015216,0.000456
83,256,OMP,0.001631,0.0004282
84,256,OMP,0.0015856,0.0004436
85,256,OMP,0.001865,0.0004042
86,256,OMP,0.0038376,0.000434
87,256,OMP,0.0020732,0.0004346
88,256,OMP,0.0041114,0.0013556
89,256,OMP,0.0032086,0.000426
90,256,OMP,0.0033624,0.0004108
91,256,OMP,0.003557,0.0004048
92,256,OMP,0.0063118,0.0025028
93,256,OMP,0.0058014,0.0013416
94,256,OMP,0.0087378,0.0050432
