Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
65,8,OMP,0.0012768,3.88E-05,4.70E-04,5.15E-03,7.23E-04,7.93E-03
66,8,OMP,0.0011422,3.34E-05,5.25E-04,5.99E-03,7.96E-04,9.07E-03
67,8,OMP,0.0013112,3.90E-05,4.58E-04,5.13E-03,6.83E-04,7.65E-03
68,8,OMP,0.0012042,3.98E-05,4.98E-04,5.03E-03,7.33E-04,7.39E-03
69,8,OMP,0.0011984,3.60E-05,5.01E-04,5.56E-03,7.26E-04,8.05E-03
70,8,OMP,0.0012236,3.88E-05,4.90E-04,5.15E-03,7.01E-04,7.36E-03
71,8,OMP,0.0013158,4.64E-05,4.56E-04,4.31E-03,6.42E-04,6.07E-03
72,8,OMP,0.0013158,4.02E-05,4.56E-04,4.98E-03,6.33E-04,6.91E-03
73,8,OMP,0.001362,4.02E-05,4.41E-04,4.98E-03,6.03E-04,6.82E-03
74,8,OMP,0.001294,4.34E-05,4.64E-04,4.61E-03,6.27E-04,6.23E-03
75,8,OMP,0.0014438,4.08E-05,4.16E-04,4.90E-03,5.54E-04,6.54E-03
76,8,OMP,0.0014348,3.56E-05,4.18E-04,5.62E-03,5.50E-04,7.39E-03
77,8,OMP,0.0015546,3.96E-05,3.86E-04,5.05E-03,5.01E-04,6.56E-03
78,8,OMP,0.001453,3.92E-05,4.13E-04,5.10E-03,5.29E-04,6.54E-03
79,8,OMP,0.0014006,4.56E-05,4.28E-04,4.39E-03,5.42E-04,5.55E-03
80,8,OMP,0.0014706,4.20E-05,4.08E-04,4.76E-03,5.10E-04,5.95E-03
81,8,OMP,0.0016376,4.12E-05,3.66E-04,4.85E-03,4.52E-04,5.99E-03
82,8,OMP,0.001454,4.50E-05,4.13E-04,4.44E-03,5.03E-04,5.42E-03
83,8,OMP,0.0016192,4.64E-05,3.71E-04,4.31E-03,4.46E-04,5.19E-03
84,8,OMP,0.0015448,4.68E-05,3.88E-04,4.27E-03,4.62E-04,5.09E-03
85,8,OMP,0.001657,4.28E-05,3.62E-04,4.67E-03,4.26E-04,5.50E-03
86,8,OMP,0.0032076,4.60E-05,1.87E-04,4.35E-03,2.18E-04,5.06E-03
87,8,OMP,0.002014,4.58E-05,2.98E-04,4.37E-03,3.42E-04,5.02E-03
88,8,OMP,0.002224,4.70E-05,2.70E-04,4.26E-03,3.07E-04,4.84E-03
89,8,OMP,0.0027008,5.60E-05,2.22E-04,3.57E-03,2.50E-04,4.01E-03
90,8,OMP,0.0022606,4.86E-05,2.65E-04,4.12E-03,2.95E-04,4.57E-03
91,8,OMP,0.0055932,5.68E-05,1.07E-04,3.52E-03,1.18E-04,3.87E-03
92,8,OMP,0.0057498,0.0019382,1.04E-04,1.03E-04,1.13E-04,1.12E-04
93,8,OMP,0.0083234,0.0019674,7.21E-05,1.02E-04,7.75E-05,1.09E-04
94,8,OMP,0.0067618,0.0024454,8.87E-05,8.18E-05,9.44E-05,8.70E-05
95,8,OMP,0.0086386,0.0057248,6.95E-05,3.49E-05,7.31E-05,3.68E-05
96,8,OMP,0.009572,0.0074612,6.27E-05,2.68E-05,6.53E-05,2.79E-05
1,16,SEQ,2.20E-06,1.00E-06,0,0,0,0
1,16,OMP,2.66E-05,4.00E-06,8.27E-02,2.50E-01,8.27E+00,2.50E+01
2,16,OMP,0.000192,8.40E-06,1.15E-02,1.19E-01,5.73E-01,5.95E+00
3,16,OMP,0.0001042,1.00E-05,2.11E-02,1.00E-01,7.04E-01,3.33E+00
4,16,OMP,0.0001336,1.04E-05,1.65E-02,9.62E-02,4.12E-01,2.40E+00
5,16,OMP,0.0001548,1.18E-05,1.42E-02,8.47E-02,2.84E-01,1.69E+00
6,16,OMP,0.0002058,1.24E-05,1.07E-02,8.06E-02,1.78E-01,1.34E+00
7,16,OMP,0.0001484,1.38E-05,1.48E-02,7.25E-02,2.12E-01,1.04E+00
8,16,OMP,0.0001772,1.20E-05,1.24E-02,8.33E-02,1.55E-01,1.04E+00
9,16,OMP,0.0002316,1.36E-05,9.50E-03,7.35E-02,1.06E-01,8.17E-01
10,16,OMP,0.0002638,1.18E-05,8.34E-03,8.47E-02,8.34E-02,8.47E-01
11,16,OMP,0.0002634,1.44E-05,8.35E-03,6.94E-02,7.59E-02,6.31E-01
12,16,OMP,0.0002334,1.12E-05,9.43E-03,8.93E-02,7.85E-02,7.44E-01
13,16,OMP,0.0004742,1.74E-05,4.64E-03,5.75E-02,3.57E-02,4.42E-01
14,16,OMP,0.00033,1.32E-05,6.67E-03,7.58E-02,4.76E-02,5.41E-01
15,16,OMP,0.0002914,1.34E-05,7.55E-03,7.46E-02,5.03E-02,4.98E-01
16,16,OMP,0.0003718,1.52E-05,5.92E-03,6.58E-02,3.70E-02,4.11E-01
17,16,OMP,0.0003532,1.48E-05,6.23E-03,6.76E-02,3.66E-02,3.97E-01
18,16,OMP,0.0003364,1.80E-05,6.54E-03,5.56E-02,3.63E-02,3.09E-01
19,16,OMP,0.0004042,1.42E-05,5.44E-03,7.04E-02,2.86E-02,3.71E-01
20,16,OMP,0.0005636,2.18E-05,3.90E-03,4.59E-02,1.95E-02,2.29E-01
21,16,OMP,0.0004218,1.74E-05,5.22E-03,5.75E-02,2.48E-02,2.74E-01
22,16,OMP,0.0005272,1.96E-05,4.17E-03,5.10E-02,1.90E-02,2.32E-01
23,16,OMP,0.000421,2.04E-05,5.23E-03,4.90E-02,2.27E-02,2.13E-01
24,16,OMP,0.000485,2.08E-05,4.54E-03,4.81E-02,1.89E-02,2.00E-01
25,16,OMP,0.0005322,1.94E-05,4.13E-03,5.15E-02,1.65E-02,2.06E-01
26,16,OMP,0.000492,1.96E-05,4.47E-03,5.10E-02,1.72E-02,1.96E-01
27,16,OMP,0.000719,1.92E-05,3.06E-03,5.21E-02,1.13E-02,1.93E-01
28,16,OMP,0.0004986,2.18E-05,4.41E-03,4.59E-02,1.58E-02,1.64E-01
29,16,OMP,0.0006052,2.42E-05,3.64E-03,4.13E-02,1.25E-02,1.42E-01
30,16,OMP,0.0005806,2.10E-05,3.79E-03,4.76E-02,1.26E-02,1.59E-01
