Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
76,32,0.001949,3.6e-05,OMP,0.0016642,4.54e-05
77,32,0.001323,2.9e-05,OMP,0.0015012,4.82e-05
78,32,0.001783,4.7e-05,OMP,0.0017236,4.5e-05
79,32,0.001457,3.9e-05,OMP,0.0016962,4.44e-05
80,32,0.001702,3.9e-05,OMP,0.001483,4.84e-05
81,32,0.001909,5.4e-05,OMP,0.001535,5.54e-05
82,32,0.001479,3.8e-05,OMP,0.0015308,4.6e-05
83,32,0.001501,5.2e-05,OMP,0.0014914,4.42e-05
84,32,0.00146,5.7e-05,OMP,0.0014838,4.48e-05
85,32,0.003075,3.8e-05,OMP,0.003574,5.4e-05
86,32,0.004456,3.8e-05,OMP,0.0023204,5.38e-05
87,32,0.002254,5.4e-05,OMP,0.0021966,5.32e-05
88,32,0.001888,7.8e-05,OMP,0.0027308,6.36e-05
89,32,0.001874,0.000116,OMP,0.0024552,6.76e-05
90,32,0.001698,7.4e-05,OMP,0.0050634,5.92e-05
91,32,0.006069,4.3e-05,OMP,0.0061596,0.0010376
92,32,0.007335,6.1e-05,OMP,0.0074864,0.0019278
93,32,0.002046,5.8e-05,OMP,0.0047276,0.0019484
94,32,0.00966,5.5e-05,OMP,0.0074824,0.0019664
95,32,0.009791,0.00951,OMP,0.0098534,0.0075994
96,32,0.009645,0.009456,OMP,0.0091152,0.0075872
1,64,1.1e-05,1.1e-05,SEQ,1.28e-05,1.16e-05
1,64,8e-06,8e-06,IMP,9e-06,8.6e-06
1,64,9.2e-05,6.4e-05,OMP,4.16e-05,2.56e-05
2,64,0.000131,2e-05,OMP,0.0001002,2.04e-05
3,64,0.000231,6e-05,OMP,0.0001526,3.74e-05
4,64,0.000114,2.2e-05,OMP,0.0001158,2.2e-05
5,64,0.000118,2.4e-05,OMP,0.000136,2.16e-05
6,64,0.000357,2.2e-05,OMP,0.0002184,2.16e-05
7,64,0.000151,2.3e-05,OMP,0.0001908,2.82e-05
8,64,0.000178,2.3e-05,OMP,0.0001874,2.5e-05
9,64,0.000432,5.6e-05,OMP,0.0002992,3e-05
10,64,0.00052,6.1e-05,OMP,0.0003382,3.42e-05
