Processes,Dim,Version,RollingMean_MatTranspose,SpeedupMatTrans,EfficiencyMatTrans
51,64,MPI DT,0.0005534,0.049873509215757145,0.09779119454070029
52,64,MPI DT,0.000923,0.029902491874322864,0.05750479206600551
53,64,MPI DT,0.0006211999999999999,0.04443013522215069,0.08383044381537866
54,64,MPI DT,0.0010864000000000002,0.02540500736377025,0.04704630993290787
55,64,MPI DT,0.0008298,0.033261026753434564,0.06047459409715375
56,64,MPI DT,0.0006416,0.04301745635910225,0.07681688635553972
57,64,MPI DT,0.0005451999999999999,0.05062362435803376,0.08881337606672589
58,64,MPI DT,0.000688,0.040116279069767447,0.06916599839615077
59,64,MPI DT,0.0007147999999999999,0.038612199216564086,0.06544440545180354
60,64,MPI DT,0.0007553999999999999,0.036536934074662436,0.06089489012443739
61,64,MPI DT,0.0013333999999999998,0.02069896505174742,0.03393272959302855
62,64,MPI DT,0.0008506000000000001,0.03244768398777334,0.05233497417382797
63,64,MPI DT,0.0007692,0.0358814352574103,0.056954659138746505
64,64,MPI DT,0.0006882000000000001,0.040104620749782036,0.06266346992153443
65,64,MPI DT,0.0007092,0.038917089678511006,0.05987244565924771
66,64,MPI DT,0.0008906000000000002,0.030990343588591956,0.04695506604332115
67,64,MPI DT,0.0009196,0.030013049151805134,0.044795595748962885
68,64,MPI DT,0.0007946,0.03473445758872389,0.05108008468929984
69,64,MPI DT,0.0008337999999999999,0.033101463180618865,0.04797313504437516
70,64,MPI DT,0.000608,0.045394736842105265,0.06484962406015038
71,64,MPI DT,0.0008312000000000001,0.033205004812319534,0.04676761241171765
72,64,MPI DT,0.0008988000000000002,0.03070761014686248,0.042649458537309
73,64,MPI DT,0.0008818000000000002,0.03129961442503969,0.04287618414388998
74,64,MPI DT,0.0008985999999999998,0.03071444469174272,0.041506006340192865
75,64,MPI DT,0.000909,0.030363036303630367,0.04048404840484049
76,64,MPI DT,0.0009662,0.028565514386255438,0.03758620313980979
77,64,MPI DT,0.0008730000000000001,0.03161512027491409,0.04105859775962868
78,64,MPI DT,0.0010023999999999999,0.027533918595371118,0.03529989563509117
79,64,MPI DT,0.0010522,0.02623075460938985,0.03320348684732893
80,64,MPI DT,0.0009891999999999998,0.027901334411645783,0.03487666801455723
81,64,MPI DT,0.0060344000000000005,0.0045737770117990195,0.005646638286171629
82,64,MPI DT,0.015969999999999998,0.0017282404508453355,0.0021076103059089455
83,64,MPI DT,0.0010384,0.026579352850539292,0.03202331668739674
84,64,MPI DT,0.0033488000000000003,0.008241758241758242,0.009811616954474097
85,64,MPI DT,0.0112624,0.002450632192072738,0.002883096696556162
86,64,MPI DT,0.0011016,0.02505446623093682,0.029133100268531185
87,64,MPI DT,0.0011288,0.024450744153082925,0.028104303624233246
88,64,MPI DT,0.011874,0.002324406265790804,0.0026413707565804594
89,64,MPI DT,0.0052036,0.005304020293642863,0.0059595733636436665
90,64,MPI DT,0.0124706,0.002213205459240133,0.002459117176933481
91,64,MPI DT,0.008097799999999999,0.0034083331275161165,0.00374542101924848
92,64,MPI DT,0.011450799999999999,0.00241031194327034,0.002619904286163413
93,64,MPI DT,0.018940400000000003,0.0014572025933982386,0.001566884509030364
94,64,MPI DT,0.0012622,0.02186658215813659,0.023262321444826158
95,64,MPI DT,0.016161400000000003,0.0017077728414617544,0.0017976556225913203
96,64,MPI DT,0.01652,0.0016707021791767557,0.0017403147699757873
1,128,SEQ,7.840000000000001e-05,,
1,128,MPI BDV,0.0002768,0.2832369942196532,28.32369942196532
4,128,MPI BDV,0.0004256000000000001,0.18421052631578946,4.605263157894736
16,128,MPI BDV,0.0007907999999999999,0.09914011127971677,0.6196256954982298
64,128,MPI BDV,0.0012234000000000001,0.06408370116069968,0.10013078306359326
1,128,MPI DT,5.6200000000000004e-05,1.395017793594306,139.5017793594306
2,128,MPI DT,0.00011199999999999997,0.7000000000000003,35.000000000000014
3,128,MPI DT,0.00012979999999999998,0.6040061633281973,20.133538777606578
4,128,MPI DT,0.00012460000000000002,0.6292134831460674,15.730337078651685
5,128,MPI DT,0.00013519999999999998,0.5798816568047339,11.597633136094679
6,128,MPI DT,0.0001372,0.5714285714285715,9.523809523809526
7,128,MPI DT,0.00013739999999999998,0.5705967976710337,8.15138282387191
8,128,MPI DT,0.00013959999999999998,0.5616045845272207,7.020057306590259
9,128,MPI DT,0.000167,0.46946107784431146,5.2162341982701275
10,128,MPI DT,0.00027739999999999997,0.2826243691420332,2.826243691420332
11,128,MPI DT,0.0002102,0.3729781160799239,3.3907101461811266
12,128,MPI DT,0.0001836,0.4270152505446624,3.55846042120552
13,128,MPI DT,0.0001906,0.4113326337880378,3.1640971829849063
14,128,MPI DT,0.0002444,0.3207855973813421,2.291325695581015
15,128,MPI DT,0.0002222,0.35283528352835286,2.3522352235223525
16,128,MPI DT,0.0001712,0.45794392523364497,2.862149532710281
17,128,MPI DT,0.0002226,0.35220125786163525,2.0717721050684426
18,128,MPI DT,0.0002266,0.3459841129744043,1.9221339609689125
19,128,MPI DT,0.0002424,0.32343234323432346,1.7022754907069657
20,128,MPI DT,0.00026260000000000004,0.2985529322162985,1.4927646610814926
21,128,MPI DT,0.00026999999999999995,0.29037037037037045,1.3827160493827164
22,128,MPI DT,0.00040119999999999994,0.19541375872382857,0.8882443578355844
23,128,MPI DT,0.00030900000000000003,0.2537216828478964,1.103137751512593
24,128,MPI DT,0.0003196,0.24530663329161453,1.0221109720483939
