Processes,Dim,Version,RollingMean_MatTranspose
81,1024,MPI DT,0.029499599999999997
82,1024,MPI DT,0.032727400000000004
83,1024,MPI DT,0.032367999999999994
84,1024,MPI DT,0.033163399999999996
85,1024,MPI DT,0.0333566
86,1024,MPI DT,0.03417099999999999
87,1024,MPI DT,0.0342448
88,1024,MPI DT,0.034900999999999995
89,1024,MPI DT,0.0330496
90,1024,MPI DT,0.034765599999999994
91,1024,MPI DT,0.043047
92,1024,MPI DT,0.03965400000000001
93,1024,MPI DT,0.033839600000000004
94,1024,MPI DT,0.0476718
95,1024,MPI DT,0.0370512
96,1024,MPI DT,0.035484
1,2048,SEQ,0.0395356
1,2048,MPI BDV,0.0961152
4,2048,MPI BDV,0.038668400000000006
16,2048,MPI BDV,0.024682200000000005
64,2048,MPI BDV,0.027762200000000004
1,2048,MPI DT,0.0762598
2,2048,MPI DT,0.0460118
3,2048,MPI DT,0.0385046
4,2048,MPI DT,0.033217199999999995
5,2048,MPI DT,0.0355914
6,2048,MPI DT,0.036050399999999996
7,2048,MPI DT,0.0315036
8,2048,MPI DT,0.030464400000000003
9,2048,MPI DT,0.030992799999999997
10,2048,MPI DT,0.030208799999999997
11,2048,MPI DT,0.0312692
12,2048,MPI DT,0.029948000000000002
13,2048,MPI DT,0.029066799999999997
14,2048,MPI DT,0.0295628
15,2048,MPI DT,0.0303884
16,2048,MPI DT,0.030835399999999995
17,2048,MPI DT,0.030730999999999998
18,2048,MPI DT,0.030454000000000002
19,2048,MPI DT,0.0320388
20,2048,MPI DT,0.032236600000000004
21,2048,MPI DT,0.03172199999999999
22,2048,MPI DT,0.0321008
23,2048,MPI DT,0.03290559999999999
24,2048,MPI DT,0.0328928
25,2048,MPI DT,0.0322862
26,2048,MPI DT,0.0333654
27,2048,MPI DT,0.035853800000000005
28,2048,MPI DT,0.034587599999999996
29,2048,MPI DT,0.035121200000000005
30,2048,MPI DT,0.035583
31,2048,MPI DT,0.0359212
32,2048,MPI DT,0.0356702
33,2048,MPI DT,0.036496799999999996
34,2048,MPI DT,0.0364598
35,2048,MPI DT,0.036679399999999994
36,2048,MPI DT,0.0375218
37,2048,MPI DT,0.0387844
38,2048,MPI DT,0.0382178
39,2048,MPI DT,0.039333
40,2048,MPI DT,0.0400254
41,2048,MPI DT,0.03998120000000001
42,2048,MPI DT,0.040481399999999994
43,2048,MPI DT,0.0410824
44,2048,MPI DT,0.0405014
45,2048,MPI DT,0.041116400000000004
46,2048,MPI DT,0.042584
47,2048,MPI DT,0.0431952
48,2048,MPI DT,0.0427234
49,2048,MPI DT,0.0420702
50,2048,MPI DT,0.04428460000000001
51,2048,MPI DT,0.04451719999999999
52,2048,MPI DT,0.044078799999999994
53,2048,MPI DT,0.046485
54,2048,MPI DT,0.046968800000000005
55,2048,MPI DT,0.046596399999999996
56,2048,MPI DT,0.0487848
57,2048,MPI DT,0.050230399999999994
58,2048,MPI DT,0.050686600000000005
59,2048,MPI DT,0.050898
60,2048,MPI DT,0.049358
61,2048,MPI DT,0.0510864
62,2048,MPI DT,0.051239999999999994
63,2048,MPI DT,0.050244199999999996
64,2048,MPI DT,0.052717799999999995
65,2048,MPI DT,0.0513542
66,2048,MPI DT,0.0522874
67,2048,MPI DT,0.05226179999999999
68,2048,MPI DT,0.0502918
69,2048,MPI DT,0.0534604
70,2048,MPI DT,0.0539284
71,2048,MPI DT,0.0524076
72,2048,MPI DT,0.053215599999999995
